CAL_DATE,HIJRI_DATE,Main Event,Category_Channel,LOG_SALES,Is_Ramadan,Is_Eid_Fitr,Is_Eid_Adha
2022-01-07,1443-06-04,Mini Bts,6_Noon,8.737359515183542,0,0,0
2022-01-07,1443-06-04,Mini Bts,7_Brick and Mortar,7.662914353944893,0,0,0
2022-01-08,1443-06-05,Mini Bts,102_Brick and Mortar,7.928996842605125,0,0,0
2022-01-08,1443-06-05,Mini Bts,102_E-Commerce,7.641021615128909,0,0,0
2022-01-08,1443-06-05,Mini Bts,105_Brick and Mortar,10.635126334358022,0,0,0
2022-01-08,1443-06-05,Mini Bts,105_E-Commerce,9.779163346242997,0,0,0
2022-01-08,1443-06-05,Mini Bts,105_Noon,7.615633424142077,0,0,0
2022-01-08,1443-06-05,Mini Bts,13_Brick and Mortar,11.393848079504426,0,0,0
2022-01-08,1443-06-05,Mini Bts,13_E-Commerce,9.010387733094133,0,0,0
2022-01-08,1443-06-05,Mini Bts,13_Noon,7.412546733713537,0,0,0
2022-01-08,1443-06-05,Mini Bts,17_E-Commerce,9.07697292019834,0,0,0
2022-01-08,1443-06-05,Mini Bts,1_Brick and Mortar,14.065516993417624,0,0,0
2022-01-08,1443-06-05,Mini Bts,1_E-Commerce,13.203067962542487,0,0,0
2022-01-08,1443-06-05,Mini Bts,1_Noon,9.30937180115379,0,0,0
2022-01-08,1443-06-05,Mini Bts,20_Brick and Mortar,13.071257875908906,0,0,0
2022-01-08,1443-06-05,Mini Bts,20_E-Commerce,11.249791708519705,0,0,0
2022-01-08,1443-06-05,Mini Bts,20_Services,6.9512552844279885,0,0,0
2022-01-08,1443-06-05,Mini Bts,2_Brick and Mortar,15.30295184553009,0,0,0
2022-01-08,1443-06-05,Mini Bts,2_E-Commerce,12.79576392078771,0,0,0
2022-01-08,1443-06-05,Mini Bts,2_Noon,12.433931542109406,0,0,0
2022-01-08,1443-06-05,Mini Bts,3_Brick and Mortar,13.548490286097236,0,0,0
2022-01-08,1443-06-05,Mini Bts,3_E-Commerce,11.614784430048902,0,0,0
2022-01-08,1443-06-05,Mini Bts,3_Noon,11.810648629997791,0,0,0
2022-01-08,1443-06-05,Mini Bts,4_Brick and Mortar,14.112280396297688,0,0,0
2022-01-08,1443-06-05,Mini Bts,4_E-Commerce,12.639746908946483,0,0,0
2022-01-08,1443-06-05,Mini Bts,4_Noon,9.711914734482908,0,0,0
2022-01-08,1443-06-05,Mini Bts,5_Brick and Mortar,13.734468037310938,0,0,0
2022-01-08,1443-06-05,Mini Bts,5_E-Commerce,11.653101251265396,0,0,0
2022-01-08,1443-06-05,Mini Bts,5_Noon,11.324819007859176,0,0,0
